# pi_control,v0.2.0
# log for:, actuator.position
# date:, 2018_07_25_15_30_35
# meta:, 
# comment:,
time (s), position (raw)
64.16784338099978,14809
64.17803537399959,14813
64.18776022799966,14820
64.198156337,14825
64.20899796999993,14821
64.22000892699998,14824
64.23140582399992,14824
64.2434977769999,14833
64.256573226,14839
64.26822251999965,14844
64.27916774699997,14844
64.29090308399964,14855
64.30220372999975,14855
64.31313223799998,14852
64.3248475219998,14861
64.33608295999966,14859
64.352768276,14870
64.36398850499972,14873
64.3747378449998,14875
64.38636625399977,14883
64.39762158699978,14882
64.41066500499983,14888
64.42428264499995,14899
64.4350854749996,14901
64.44628919399975,14904
64.45799348799983,14906
64.46873142200002,14910
64.48041134099958,14913
64.4916357369998,14919
64.50262893299987,14925
64.51391582899987,14925
64.52477355599967,14927
64.53627618199971,14937
64.55090622499984,14936
64.56291098999964,14937
64.57419512599972,14942
64.58509529999992,14946
64.59655704099987,14949
64.60784503099967,14956
64.61853431899999,14958
64.62962162999975,14959
64.64203223099958,14967
64.65301615599992,14968
64.66443695999988,14973
64.66560592499991,14973
64.67651151699965,14977
64.68793518499979,14982
64.69930452899962,14981
64.71025012099972,14988
64.7214166509998,14991
64.73335401999975,14996
64.74425862199996,14996
64.75561135199996,15004
64.76725512499979,15005
64.7796044759998,14969
64.79120423799986,14966
64.80195680799989,14968
64.81310318199985,14968
64.82462356899987,14968
64.83543035799994,14969
64.84710610999991,14967
64.85832639099999,14968
64.86934177499961,14969
64.88099711099994,14968
64.89187207699979,14969
64.90320553599986,14966
64.91439513999967,14969
64.92512677199966,14965
64.93630783399976,14970
64.95595733599976,14968
64.96719907499983,14969
64.97840169999972,14967
64.98925452999993,14968
65.00087330399992,14965
65.01104623399988,14968
65.02094056899978,14968
65.03093870599969,14966
65.04061918599973,14966
65.05047279099972,14964
65.06043061599985,14957
65.0609698899998,14957
65.07051135799975,14956
65.08003516999997,14953
65.08983804599984,14950
65.09952935899992,14946
65.10903275299961,14942
65.11893708799971,14938
65.12856647399985,14936
65.13809955599982,14935
65.14808227699996,14930
65.15804510199996,14927
65.16756943399969,14926
65.17883575699989,14919
65.1886270709997,14915
65.19813030899968,14909
65.20818959299959,14907
65.2183468459998,14906
65.22792612699959,14905
65.23818593299984,14899
65.248461572,14892
65.25808637399996,14890
65.26841706599998,14885
65.27848114199969,14888
65.2880785479997,14889
65.29802772699986,14888
65.30864216999998,14885
65.31829426399963,14880
65.32824906799988,14876
65.33874923999974,14875
65.34841987499976,14871
65.35839165899961,14867
65.36904990499988,14867
65.37887210399958,14864
65.38885258499977,14859
65.39945942399982,14861
65.40909422599998,14855
65.41907533199992,14854
65.43348662399967,14850
65.44298715399964,2
65.4530300829997,14850
65.46280754199961,14838
65.47232755199957,14834
65.4825244409999,14831
65.4926442459996,14832
65.50223691199972,14827
65.51267703199983,14828
65.52282402399987,14824
65.53244726399998,14818
65.54276675699975,14818
65.54585120399997,14818
65.55258432099981,14814
65.56217776799986,14808
65.57212121799967,14809
65.58266269299975,14807
65.59229468199965,14802
65.60229547599965,14804
65.61279064799965,14795
65.62242435600001,14796
65.63239999299958,14790
65.64290266599983,14781
65.65257106099989,14778
65.66257341799974,14775
65.67305952699962,14777
65.6827524549999,14770
65.69276949899995,14768
65.70332675399959,14765
65.71296728499965,14755
65.72292875599987,14756
65.73367346099985,14749
65.7432948249998,14747
65.75323593099984,14742
65.76384964599993,14733
65.77348585399977,14734
65.78346581400001,14730
65.79399359099989,14726
65.80364453899983,14723
65.81362314499984,14722
65.82410394199997,14719
65.83377306699958,14716
65.84380287099975,14711
65.85430746999964,14702
65.86394951199964,14695
65.87391546199979,14695
65.88453381199997,14698
65.89419762399984,14691
65.90412393799988,14688
65.91461358999959,14682
65.92423313099971,14680
65.9343516859999,14684
65.94442904299967,14677
65.95404337599985,14675
65.96400666999989,14672
65.97436006999988,14673
65.98399164299963,14668
65.99372535099974,14669
66.00369171799957,14664
66.01329964499973,14660
66.02283001899968,14650
66.03270393699995,14652
66.04234160299984,14645
66.05184369599965,14644
66.0617605829998,14641
66.07139168699996,14639
66.08090690499967,14635
66.09097795999969,14637
66.10083521099978,14631
66.11036162699975,14629
66.12043304600002,14632
66.13050279899971,14624
66.14013353799965,14619
66.15052100100002,14616
66.16060137899967,14615
66.170276285,14606
66.18061447699984,14603
66.19069896899964,14601
66.20036033399992,14600
66.2108105049997,14593
66.22109661399963,14586
66.2307418839996,14587
66.24107663899986,14585
66.25117165199981,14582
66.26078108899992,14577
66.2706894869998,14575
66.28112872099973,14573
66.29076701199983,14571
66.30105645399999,14564
66.31111646699992,14562
66.32076845599977,14559
66.3307263329998,14551
66.34106119199987,14546
66.35073990000001,14544
66.36043959799963,14538
66.36276997799996,14538
66.37039773499964,14536
66.38006498499999,14533
66.38961853699993,14531
66.39955479899982,14528
66.40922824699965,14520
66.4187454439998,14512
66.42874498799983,14511
66.43836192499975,14507
66.44784724599958,14501
66.45786225899974,14503
66.46766789499998,14498
66.47721050899963,14494
66.48726197999986,14491
66.4973090239996,14484
66.50691174299982,14483
66.51739134199988,14484
66.52738166699964,14478
66.53697256199985,14477
66.54690788699963,14473
66.55758842499972,14468
66.56722978899961,14463
66.57732688599981,14466
66.58801356899994,14460
66.59765321499981,14458
66.60768572799998,14456
66.61831579599993,14453
66.62796966099995,14447
66.63791602699985,14444
66.64847968899994,14441
66.65813532499988,14440
66.66814215999966,14439
66.67889097999978,14435
66.67947999399985,14435
66.68864187600002,14430
66.69867391999969,14430
66.70937419699976,14424
66.71903998899961,14422
66.7289916159998,14418
66.73970954999959,14415
66.74946950899994,14413
66.75941728099997,14410
66.77004771499969,14408
66.77969006899957,14401
66.78968403999988,14397
66.80032369199989,14395
66.81002807699997,14391
66.8200707459996,14391
66.83041753199996,14385
66.84004816699962,14382
66.85023969099984,14378
66.86024793299975,14374
66.86986856799967,14369
66.87996988399982,14363
66.89024427300001,14362
66.89983542899972,14359
66.90954372099986,14359
66.91949769099983,14352
66.92906087799975,14346
66.93852317899973,14342
66.94836235699995,14339
66.95794361699973,14334
66.96740612599979,14330
66.97728785599975,14327
66.98689984599969,14324
66.9963561049999,14323
67.0064147639996,14320
67.01645139099992,14313
67.02599041099984,14309
67.03631297799984,14308
67.04632418799974,14303
67.05589393799983,14300
67.06588040799988,14299
67.07635438199986,14295
67.08592897499966,14292
67.09605456199961,14287
67.10605639699997,14284
67.11565416799976,14283
67.12561751299972,14284
67.13580080799966,14276
67.14537623499973,14271
67.15503468299994,14267
67.1649732879996,14267
67.17453861099966,14267
67.18399856799988,14259
67.19384644399997,14256
67.20344249599975,14256
67.21294969199971,14255
67.22283621499992,14246
67.23244304799982,14244
67.24189685900001,14237
67.2529672429996,14239
67.26267735800002,14234
67.27217304399983,14234
67.28227071299989,14233
67.29229614299993,14230
67.30188469399991,14229
67.31215871899985,14222
67.32212998099976,14217
67.33170415799987,14221
67.34167979499989,14214
67.35208507099969,14207
67.36171804999958,14203
67.36410327299973,14203
67.37179790599976,14204
67.3818585439999,14197
67.39143428299985,14194
67.40148736899982,14190
67.41179003999969,14187
67.42138155999965,14185
67.43101656999988,14180
67.44096767599967,14178
67.4505546649998,14173
67.46010441399994,14168
67.46999130099994,14167
67.47955589399999,14161
67.48899303899998,14152
67.49890935299982,14150
67.50850186299976,14145
67.51799322599982,14145
67.52807370799974,14141
67.53807481399963,14140
67.54761086499957,14134
67.55787020199978,14133
67.56784583999979,14132
67.57740548499987,14125
67.58734148699978,14120
67.59837025599973,14115
67.60797240099964,14114
67.61798678899959,14112
67.62847279399966,14106
67.63810660599984,14100
67.64806234799971,14091
67.65851038399978,14089
67.66812070599963,14091
67.67825290699966,14084
67.68823114899988,14083
67.697899753,14074
67.70798867199983,14072
67.71831566599985,14068
67.7278934359997,14067
67.73750953999979,14065
67.74745705199985,14067
67.75706492699965,14061
67.76653649799982,14058
67.77797782199968,14052
67.78755132199967,14055
67.79701674699982,14049
67.80682535299957,14043
67.8164223939998,14049
67.82589182999982,14041
67.83581684199999,14037
67.84543398699998,14037
67.85487722499965,14028
67.86499838499958,14032
67.87501740799962,14028
67.88457663600002,14027
67.88898093499984,14027
67.89488451499983,14025
67.90485025699991,14019
